Level,Date and Time,Source,Event ID,Task Category
Information,4/17/2023 11:23:57 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:23:57.880
ProcessGuid: {2048537D-AD71-643C-0B01-000000000B00}
ProcessId: 5372
Image: C:\Windows\System32\backgroundTaskHost.exe
User: EXAMPLECOMPANY\admin"
Information,4/17/2023 11:22:42 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:42.956
ProcessGuid: {2048537D-AD4F-643C-0301-000000000B00}
ProcessId: 6704
Image: C:\Windows\System32\dllhost.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:41 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:41.069
ProcessGuid: {2048537D-AD71-643C-0B01-000000000B00}
ProcessId: 5372
Image: C:\Windows\System32\backgroundTaskHost.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Background Task Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: backgroundTaskHost.exe
CommandLine: ""C:\Windows\system32\backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca
CurrentDirectory: C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\
User: EXAMPLECOMPANY\admin
LogonGuid: {2048537D-A037-643C-5471-310000000000}
LogonId: 0x317154
TerminalSessionId: 1
IntegrityLevel: AppContainer
Hashes: SHA256=23A80E09DAE6DB17909E81B1CA7E9BF43158BDEE69C1646125FC62E6BFE2745B
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 732
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:37 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:37.949
ProcessGuid: {2048537D-AD4F-643C-0201-000000000B00}
ProcessId: 5848
Image: C:\Windows\System32\taskhostw.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:35 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:35.510
ProcessGuid: {2048537D-AD6B-643C-0A01-000000000B00}
ProcessId: 3176
Image: C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe
FileVersion: 10.0.14393.953 (rs1_release_inmarket.170303-1614)
Description: Search and Cortana application
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: SearchUI.exe
CommandLine: ""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca
CurrentDirectory: C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\
User: EXAMPLECOMPANY\admin
LogonGuid: {2048537D-A037-643C-5471-310000000000}
LogonId: 0x317154
TerminalSessionId: 1
IntegrityLevel: AppContainer
Hashes: SHA256=632C9EF4F26CE0C2AA415E1DC4C1515E0CD2A72422F3F81663BA612752EE6B72
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 732
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:34 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:34.290
ProcessGuid: {2048537D-AD63-643C-0901-000000000B00}
ProcessId: 3956
Image: C:\Windows\System32\backgroundTaskHost.exe
User: EXAMPLECOMPANY\admin"
Information,4/17/2023 11:22:33 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:33.468
ProcessGuid: {2048537D-A039-643C-AE00-000000000B00}
ProcessId: 1408
Image: C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe
User: EXAMPLECOMPANY\admin"
Information,4/17/2023 11:22:31 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:31.504
ProcessGuid: {2048537D-AD62-643C-0601-000000000B00}
ProcessId: 6052
Image: C:\Windows\System32\dllhost.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:31 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:31.504
ProcessGuid: {2048537D-AD62-643C-0701-000000000B00}
ProcessId: 2236
Image: C:\Windows\System32\dllhost.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:27 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:27.885
ProcessGuid: {2048537D-AD63-643C-0901-000000000B00}
ProcessId: 3956
Image: C:\Windows\System32\backgroundTaskHost.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Background Task Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: backgroundTaskHost.exe
CommandLine: ""C:\Windows\system32\backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca
CurrentDirectory: C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\
User: EXAMPLECOMPANY\admin
LogonGuid: {2048537D-A037-643C-5471-310000000000}
LogonId: 0x317154
TerminalSessionId: 1
IntegrityLevel: AppContainer
Hashes: SHA256=23A80E09DAE6DB17909E81B1CA7E9BF43158BDEE69C1646125FC62E6BFE2745B
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 732
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:26 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:26.522
ProcessGuid: {2048537D-AD62-643C-0801-000000000B00}
ProcessId: 6216
Image: C:\Windows\System32\mmc.exe
FileVersion: 10.0.14393.953 (rs1_release_inmarket.170303-1614)
Description: Microsoft Management Console
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: mmc.exe
CommandLine: ""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\eventvwr.msc"" /s
CurrentDirectory: C:\Windows\system32\
User: EXAMPLECOMPANY\admin
LogonGuid: {2048537D-A037-643C-3771-310000000000}
LogonId: 0x317137
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA256=6A9BDBFCF4E2DB18F62C55A46C0C94B765165DA150DA6E8E0A87C740C71887BB
ParentProcessGuid: {2048537D-A037-643C-A700-000000000B00}
ParentProcessId: 1928
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE
ParentUser: EXAMPLECOMPANY\admin"
