Level,Date and Time,Source,Event ID,Task Category, Description
Information,2023/04/02 17:43:47,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:47.691
ProcessGuid: {22a2695c-4043-6429-4ae9-000000006e00}
ProcessId: 26268
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
User: NT AUTHORITY\SYSTEM"
Information,2023/04/02 17:43:47,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:47.683
ProcessGuid: {22a2695c-4043-6429-4ae9-000000006e00}
ProcessId: 26268
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
FileVersion: 9.0.4.1
Description: splunk-optimize
Product: splunk Application
Company: Splunk Inc.
OriginalFileName: splunk-optimize.exe
CommandLine: splunk-optimize -d ""C:\Program Files\Splunk\var\lib\splunk\_introspection\db\hot_v1_1"" -x 18013725184 --log-to--splunkd-log --write-level 3 --tsidx-target-size 1572864000 --msidx-comp-block-size 1024
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {22a2695c-0147-6428-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=090AB6E27522C5B37069983CDBB2F55248153A3FD9602DF223134ACBD59FD742
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 4840
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,2023/04/02 17:43:46,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:46.502
ProcessGuid: {22a2695c-4042-6429-48e9-000000006e00}
ProcessId: 20364
Image: C:\Windows\System32\conhost.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:46,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:46.498
ProcessGuid: {22a2695c-4042-6429-47e9-000000006e00}
ProcessId: 23528
Image: C:\Windows\System32\cmd.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:46,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:45.764
ProcessGuid: {22a2695c-4041-6429-46e9-000000006e00}
ProcessId: 14200
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
User: NT AUTHORITY\SYSTEM"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:45.755
ProcessGuid: {22a2695c-4041-6429-46e9-000000006e00}
ProcessId: 14200
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
FileVersion: 9.0.4.1
Description: splunk-optimize
Product: splunk Application
Company: Splunk Inc.
OriginalFileName: splunk-optimize.exe
CommandLine: splunk-optimize -d ""C:\Program Files\Splunk\var\lib\splunk\_internaldb\db\hot_v1_1"" -x 18013725184 --log-to--splunkd-log --write-level 3 --tsidx-target-size 1572864000 --msidx-comp-block-size 1024
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {22a2695c-0147-6428-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=090AB6E27522C5B37069983CDBB2F55248153A3FD9602DF223134ACBD59FD742
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 4840
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:45.749
ProcessGuid: {22a2695c-4041-6429-45e9-000000006e00}
ProcessId: 25324
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
User: NT AUTHORITY\SYSTEM"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:45.739
ProcessGuid: {22a2695c-4041-6429-45e9-000000006e00}
ProcessId: 25324
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
FileVersion: 9.0.4.1
Description: splunk-optimize
Product: splunk Application
Company: Splunk Inc.
OriginalFileName: splunk-optimize.exe
CommandLine: splunk-optimize -d ""C:\Program Files\Splunk\var\lib\splunk\_metrics\db\hot_v1_9"" -x 18013725184 --log-to--splunkd-log --write-level 3 --tsidx-target-size 1572864000 --msidx-comp-block-size 1024
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {22a2695c-0147-6428-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=090AB6E27522C5B37069983CDBB2F55248153A3FD9602DF223134ACBD59FD742
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 4840
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:45.734
ProcessGuid: {22a2695c-4041-6429-44e9-000000006e00}
ProcessId: 18208
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
User: NT AUTHORITY\SYSTEM"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:45.723
ProcessGuid: {22a2695c-4041-6429-44e9-000000006e00}
ProcessId: 18208
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
FileVersion: 9.0.4.1
Description: splunk-optimize
Product: splunk Application
Company: Splunk Inc.
OriginalFileName: splunk-optimize.exe
CommandLine: splunk-optimize -d ""C:\Program Files\Splunk\var\lib\splunk\_metrics\db\hot_v1_8"" -x 18013725184 --log-to--splunkd-log --write-level 3 --tsidx-target-size 1572864000 --msidx-comp-block-size 1024
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {22a2695c-0147-6428-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=090AB6E27522C5B37069983CDBB2F55248153A3FD9602DF223134ACBD59FD742
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 4840
ParentImage: -
ParentCommandLine: -
ParentUser: -"
